iter	Passed	Remaining
0	0	856
1	1	751
2	2	720
3	2	718
4	3	722
5	4	706
6	4	695
7	5	688
8	6	681
9	6	672
10	7	666
11	8	665
12	8	660
13	9	653
14	9	654
15	10	654
16	11	656
17	12	662
18	12	663
19	13	664
20	14	666
21	14	664
22	15	662
23	16	662
24	16	659
25	17	661
26	18	659
27	18	657
28	19	653
29	20	651
30	20	652
31	21	651
32	22	650
33	22	647
34	23	645
35	24	644
36	24	642
37	25	640
38	26	641
39	26	643
40	27	642
41	28	641
42	28	640
43	29	639
44	30	636
45	30	638
46	31	638
47	32	639
48	32	639
49	33	639
50	34	641
51	35	639
52	35	637
53	36	636
54	36	635
55	37	633
56	38	631
57	38	630
58	39	629
59	40	632
60	41	632
61	41	631
62	42	629
63	42	628
64	43	627
65	44	626
66	44	625
67	45	624
68	46	625
69	47	625
70	47	626
71	48	625
72	49	625
73	49	624
74	50	623
75	51	621
76	51	620
77	52	619
78	53	618
79	53	618
80	54	617
81	55	616
82	55	613
83	56	612
84	56	612
85	57	611
86	58	611
87	58	609
88	59	609
89	60	608
90	60	607
91	61	606
92	62	605
93	62	605
94	63	604
95	64	603
96	64	602
97	65	601
98	66	602
99	67	603
100	67	602
101	68	602
102	69	608
103	70	608
104	71	607
105	71	607
106	72	606
107	73	604
108	73	604
109	74	603
110	75	602
111	75	601
112	76	600
113	77	599
114	77	598
115	78	598
116	78	596
117	79	595
118	80	594
119	81	594
120	81	594
121	82	592
122	83	593
123	84	593
124	84	594
125	85	594
126	86	592
127	86	591
128	87	590
129	88	590
130	88	589
131	89	588
132	90	588
133	91	588
134	91	587
135	92	587
136	93	587
137	93	586
138	94	585
139	95	584
140	95	583
141	96	581
142	96	581
143	97	579
144	98	578
145	98	576
146	99	575
147	99	574
148	100	572
149	100	571
150	101	569
151	101	568
152	102	567
153	103	566
154	103	565
155	104	565
156	105	564
157	105	562
158	106	563
159	107	563
160	107	561
161	108	560
162	108	559
163	109	558
164	110	556
165	110	556
166	111	555
167	111	554
168	112	554
169	113	553
170	113	552
171	114	551
172	115	550
173	115	549
174	116	548
175	116	547
176	117	546
177	118	545
178	118	544
179	119	543
180	120	543
181	120	542
182	121	542
183	122	541
184	122	540
185	123	539
186	124	540
187	125	540
188	126	542
189	127	542
190	127	541
191	128	540
192	129	539
193	129	539
194	130	538
195	131	537
196	131	536
197	132	535
198	132	534
199	133	533
200	133	532
201	134	531
202	135	530
203	135	529
204	136	528
205	137	528
206	137	527
207	138	527
208	139	526
209	139	526
210	140	525
211	141	525
212	142	525
213	142	524
214	143	525
215	144	524
216	145	524
217	145	523
218	146	523
219	147	522
220	148	522
221	148	521
222	149	520
223	150	519
224	150	519
225	151	518
226	152	518
227	152	517
228	153	516
229	154	515
230	154	515
231	155	515
232	156	515
233	157	515
234	158	514
235	158	514
236	159	513
237	160	513
238	160	512
239	161	511
240	162	510
241	163	511
242	163	510
243	164	509
244	165	509
245	165	508
246	166	508
247	167	507
248	168	506
249	168	506
250	170	507
251	170	506
252	171	506
253	172	505
254	172	504
255	173	504
256	174	504
257	175	504
258	176	504
259	176	503
260	177	503
261	178	502
262	179	502
263	179	501
264	180	500
265	181	500
266	182	499
267	182	499
268	183	499
269	184	499
270	185	498
271	185	497
272	186	496
273	187	496
274	188	495
275	188	495
276	189	494
277	190	494
278	191	494
279	191	493
280	192	492
281	193	491
282	193	490
283	194	490
284	195	489
285	195	488
286	196	488
287	197	487
288	198	487
289	198	486
290	199	485
291	200	485
292	200	484
293	209	503
294	210	502
295	211	501
296	211	501
297	212	500
298	213	499
299	213	498
300	214	497
301	214	496
302	215	495
303	216	494
304	216	494
305	217	493
306	218	492
307	218	491
308	219	490
309	219	489
310	220	488
311	221	487
312	221	486
313	222	485
314	222	484
315	223	484
316	224	483
317	224	482
318	225	481
319	226	480
320	226	479
321	227	479
322	228	478
323	229	477
324	229	477
325	230	476
326	231	475
327	231	475
328	232	474
329	233	473
330	233	472
331	234	471
332	235	470
333	235	470
334	236	470
335	237	469
336	238	469
337	239	468
338	239	467
339	240	466
340	241	466
341	242	466
342	243	466
343	244	465
344	244	464
345	245	464
346	246	463
347	247	463
348	247	462
349	248	461
350	249	461
351	250	460
352	250	460
353	251	459
354	252	458
355	252	457
356	253	456
357	254	456
358	255	455
359	256	455
360	256	454
361	257	453
362	258	453
363	258	452
364	259	451
365	260	451
366	261	451
367	262	450
368	262	449
369	263	449
370	264	448
371	265	448
372	266	447
373	267	447
374	267	446
375	268	445
376	269	445
377	270	444
378	270	443
379	271	442
380	271	441
381	272	440
382	273	440
383	274	439
384	274	438
385	275	438
386	276	437
387	277	437
388	277	436
389	278	435
390	279	434
391	280	434
392	280	434
393	281	433
394	282	432
395	282	431
396	283	430
397	284	429
398	284	428
399	285	427
400	285	426
401	286	426
402	287	425
403	287	424
404	288	423
405	289	422
406	289	421
407	290	420
408	290	420
409	291	419
410	292	418
411	293	418
412	293	417
413	294	416
414	295	416
415	295	415
416	296	414
417	297	413
418	297	412
419	298	411
420	298	411
421	299	410
422	300	409
423	301	409
424	302	408
425	302	407
426	303	407
427	304	406
428	304	405
429	305	404
430	306	404
431	307	404
432	308	403
433	309	403
434	309	402
435	310	401
436	311	401
437	312	401
438	313	400
439	313	399
440	314	398
441	315	398
442	315	397
443	316	396
444	317	395
445	318	395
446	319	395
447	320	394
448	320	393
449	321	393
450	322	392
451	323	391
452	323	391
453	324	390
454	325	389
455	326	389
456	326	388
457	327	387
458	328	387
459	329	386
460	329	385
461	330	384
462	331	383
463	331	383
464	332	382
465	333	382
466	334	381
467	335	380
468	335	380
469	336	379
470	337	378
471	337	378
472	338	377
473	339	376
474	340	376
475	340	375
476	341	374
477	342	373
478	342	372
479	343	372
480	343	371
481	344	370
482	345	369
483	345	368
484	346	368
485	347	367
486	348	367
487	349	366
488	349	365
489	350	364
490	351	364
491	352	363
492	352	362
493	353	362
494	354	361
495	354	360
496	355	359
497	356	359
498	356	358
499	357	357
500	357	356
501	358	355
502	358	354
503	359	353
504	360	353
505	360	352
506	361	351
507	362	350
508	362	350
509	363	349
510	364	348
511	365	348
512	365	347
513	366	346
514	367	346
515	368	345
516	368	344
517	369	344
518	370	343
519	371	342
520	371	341
521	372	340
522	372	340
523	373	339
524	374	338
525	374	337
526	375	337
527	376	336
528	376	335
529	377	335
530	378	334
531	379	333
532	379	332
533	380	332
534	381	331
535	382	330
536	382	330
537	383	329
538	384	328
539	385	328
540	385	327
541	386	326
542	387	325
543	387	325
544	388	324
545	388	323
546	389	322
547	390	321
548	390	321
549	391	320
550	392	319
551	392	318
552	393	318
553	394	317
554	394	316
555	395	315
556	396	315
557	396	314
558	397	313
559	397	312
560	398	311
561	398	310
562	399	310
563	400	309
564	400	308
565	401	307
566	402	307
567	402	306
568	403	305
569	403	304
570	404	303
571	405	303
572	405	302
573	406	301
574	407	300
575	407	300
576	408	299
577	409	298
578	409	298
579	410	297
580	411	296
581	412	296
582	413	295
583	413	294
584	414	293
585	414	293
586	415	292
587	416	291
588	416	290
589	417	289
590	417	289
591	418	288
592	419	287
593	419	287
594	420	286
595	421	285
596	421	284
597	422	284
598	423	283
599	423	282
600	424	281
601	425	281
602	425	280
603	426	279
604	427	278
605	427	278
606	428	277
607	429	276
608	429	275
609	430	275
610	430	274
611	431	273
612	432	272
613	433	272
614	433	271
615	434	270
616	435	270
617	436	269
618	436	268
619	437	268
620	438	267
621	439	266
622	439	266
623	440	265
624	441	264
625	441	263
626	442	263
627	443	262
628	444	261
629	444	261
630	445	260
631	446	259
632	447	259
633	447	258
634	448	257
635	448	256
636	449	256
637	450	255
638	450	254
639	451	253
640	452	253
641	452	252
642	453	251
643	454	251
644	455	250
645	455	249
646	456	249
647	457	248
648	457	247
649	458	246
650	459	246
651	459	245
652	460	244
653	461	243
654	461	243
655	462	242
656	463	241
657	463	241
658	464	240
659	465	239
660	465	238
661	466	238
662	467	237
663	467	236
664	468	236
665	469	235
666	469	234
667	470	233
668	471	233
669	471	232
670	472	231
671	472	230
672	473	230
673	474	229
674	475	228
675	475	228
676	476	227
677	476	226
678	477	225
679	478	225
680	478	224
681	479	223
682	479	222
683	480	222
684	481	221
685	481	220
686	482	219
687	483	219
688	483	218
689	484	217
690	485	216
691	485	216
692	486	215
693	487	214
694	487	214
695	488	213
696	488	212
697	489	211
698	490	211
699	490	210
700	491	209
701	492	208
702	492	208
703	493	207
704	493	206
705	494	205
706	495	205
707	495	204
708	496	203
709	496	202
710	497	202
711	498	201
712	498	200
713	499	200
714	500	199
715	500	198
716	501	197
717	502	197
718	502	196
719	503	195
720	504	195
721	504	194
722	505	193
723	505	192
724	506	192
725	507	191
726	507	190
727	508	189
728	508	189
729	509	188
730	510	187
731	510	186
732	511	186
733	511	185
734	512	184
735	513	184
736	513	183
737	514	182
738	515	181
739	515	181
740	516	180
741	516	179
742	517	179
743	518	178
744	518	177
745	519	176
746	520	176
747	520	175
748	521	174
749	522	174
750	522	173
751	523	172
752	524	171
753	524	171
754	525	170
755	525	169
756	526	169
757	527	168
758	528	167
759	529	167
760	530	166
761	530	165
762	531	165
763	532	164
764	532	163
765	533	162
766	534	162
767	534	161
768	535	160
769	536	160
770	537	159
771	537	158
772	538	158
773	539	157
774	539	156
775	540	156
776	541	155
777	541	154
778	542	154
779	543	153
780	544	152
781	545	152
782	546	151
783	547	150
784	548	150
785	549	149
786	549	148
787	550	148
788	551	147
789	552	146
790	552	146
791	553	145
792	554	144
793	555	144
794	555	143
795	556	142
796	557	141
797	558	141
798	558	140
799	559	139
800	560	139
801	561	138
802	562	137
803	563	137
804	563	136
805	564	135
806	564	135
807	565	134
808	566	133
809	566	132
810	567	132
811	567	131
812	568	130
813	569	130
814	569	129
815	570	128
816	571	127
817	571	127
818	572	126
819	573	125
820	574	125
821	574	124
822	575	123
823	576	123
824	576	122
825	577	121
826	578	120
827	579	120
828	579	119
829	580	118
830	581	118
831	581	117
832	582	116
833	583	116
834	583	115
835	584	114
836	585	113
837	585	113
838	586	112
839	586	111
840	587	111
841	588	110
842	589	109
843	589	109
844	590	108
845	591	107
846	591	106
847	592	106
848	593	105
849	593	104
850	594	104
851	594	103
852	595	102
853	596	101
854	596	101
855	597	100
856	597	99
857	598	99
858	599	98
859	599	97
860	600	96
861	601	96
862	601	95
863	602	94
864	603	94
865	603	93
866	604	92
867	605	92
868	605	91
869	606	90
870	606	89
871	607	89
872	608	88
873	608	87
874	609	87
875	609	86
876	610	85
877	610	84
878	611	84
879	612	83
880	612	82
881	613	82
882	613	81
883	614	80
884	615	79
885	615	79
886	616	78
887	617	77
888	617	77
889	618	76
890	619	75
891	619	75
892	620	74
893	621	73
894	621	72
895	622	72
896	622	71
897	623	70
898	623	70
899	624	69
900	625	68
901	625	67
902	626	67
903	626	66
904	627	65
905	627	65
906	628	64
907	629	63
908	631	63
909	631	62
910	632	61
911	633	61
912	634	60
913	634	59
914	635	59
915	636	58
916	637	57
917	637	56
918	638	56
919	639	55
920	639	54
921	640	54
922	641	53
923	641	52
924	642	52
925	643	51
926	643	50
927	644	50
928	645	49
929	645	48
930	646	47
931	647	47
932	647	46
933	648	45
934	649	45
935	649	44
936	650	43
937	651	43
938	651	42
939	652	41
940	653	40
941	653	40
942	654	39
943	655	38
944	655	38
945	656	37
946	656	36
947	657	36
948	658	35
949	658	34
950	659	33
951	660	33
952	660	32
953	661	31
954	662	31
955	663	30
956	663	29
957	664	29
958	665	28
959	665	27
960	666	27
961	666	26
962	667	25
963	668	24
964	668	24
965	669	23
966	670	22
967	671	22
968	672	21
969	673	20
970	673	20
971	674	19
972	675	18
973	676	18
974	676	17
975	677	16
976	678	15
977	679	15
978	680	14
979	681	13
980	681	13
981	682	12
982	683	11
983	683	11
984	684	10
985	685	9
986	685	9
987	686	8
988	687	7
989	688	6
990	688	6
991	689	5
992	690	4
993	690	4
994	691	3
995	692	2
996	693	2
997	693	1
998	694	0
999	695	0
